series,method,home,count,refr,rep,has_pressure,f1,timing_err_min,recall,delay_oracle,delay_obs,cost_min
pir_only,local,pir_only_21,2,5,60,True,0.07532526820360648,1.725,0.3333333333333333,7.593333333333333,120.0,112.40666666666667
pir_only,local,pir_only_22,2,5,60,True,0.16255330146013694,1.5,0.22916666666666666,11.416666666666666,120.0,108.58333333333333
pir_only,local,pir_only_23,2,5,60,True,0.07388335385648719,1.6,0.4583333333333333,6.683333333333333,120.0,113.31666666666666
pir_only,centralized,pir_only_0,1,5,0,True,0.08846383741781233,0.9,0.3541666666666667,6.853333333333333,120.0,113.14666666666666
pir_only,centralized,pir_only_1,1,5,0,True,0.04008908685968819,1.3,0.25,5.566666666666666,120.0,114.43333333333334
pir_only,centralized,pir_only_2,1,5,0,True,0.05972359328726555,1.0833333333333333,0.2708333333333333,6.446666666666665,120.0,113.55333333333334
pir_only,centralized,pir_only_3,1,5,0,True,0.09096013475575519,0.65,0.2708333333333333,7.459999999999998,120.0,112.54
pir_only,centralized,pir_only_4,1,5,30,True,0.14259730811204074,0.6916666666666667,0.20833333333333334,7.79,120.0,112.21
pir_only,centralized,pir_only_5,1,5,30,True,0.05864875339103475,1.6916666666666667,0.25,4.449999999999998,120.0,115.55
pir_only,centralized,pir_only_6,1,5,30,True,0.08584826259468559,0.9666666666666667,0.22916666666666666,8.839999999999998,120.0,111.16
pir_only,centralized,pir_only_7,1,5,30,True,0.06253489670575098,1.225,0.3333333333333333,4.503333333333332,120.0,115.49666666666667
pir_only,centralized,pir_only_8,1,5,60,True,0.08220538929591456,1.075,0.4166666666666667,5.65,120.0,114.35
pir_only,centralized,pir_only_9,1,5,60,True,0.05469251508537682,1.3333333333333333,0.375,5.169999999999998,120.0,114.83
pir_only,centralized,pir_only_10,1,5,60,True,0.061226978899865836,1.0666666666666667,0.3125,5.3133333333333335,120.0,114.68666666666667
pir_only,centralized,pir_only_11,1,5,60,True,0.10736090312176017,1.3666666666666667,0.2708333333333333,9.136666666666667,120.0,110.86333333333333
pir_only,centralized,pir_only_12,1,30,30,True,0.1256205980833622,1.1333333333333333,0.3125,12.399999999999999,120.0,107.6
pir_only,centralized,pir_only_13,1,30,30,True,0.05577155114626626,1.2833333333333334,0.16666666666666666,7.293333333333333,120.0,112.70666666666666
pir_only,centralized,pir_only_14,1,30,30,True,0.1600270087778528,0.7666666666666667,0.2708333333333333,12.989999999999995,120.0,107.01
pir_only,centralized,pir_only_15,1,30,30,True,0.1643126177024482,1.325,0.2916666666666667,6.253333333333332,120.0,113.74666666666667
pir_only,centralized,pir_only_16,2,5,0,True,0.06881243063263041,0.48333333333333334,0.20833333333333334,5.803333333333333,120.0,114.19666666666667
pir_only,centralized,pir_only_17,2,5,0,True,0.05839598997493735,0.6666666666666666,0.375,6.119999999999999,120.0,113.88
pir_only,centralized,pir_only_18,2,5,0,True,0.13277330533193327,1.25,0.14583333333333334,8.256666666666664,120.0,111.74333333333334
pir_only,centralized,pir_only_19,2,5,0,True,0.11204548146393462,0.7666666666666667,0.2708333333333333,6.966666666666662,120.0,113.03333333333333
pir_only,centralized,pir_only_20,2,5,60,True,0.0920562432399952,0.8666666666666667,0.3333333333333333,7.046666666666665,120.0,112.95333333333333
